pool_id,date,tvl_usd
0x11b815efb8f581194ae79006d24e0d814b7697f6,18766,163081.62719085766
0x11b815efb8f581194ae79006d24e0d814b7697f6,18767,172784.99183304806
0x11b815efb8f581194ae79006d24e0d814b7697f6,18768,152263.32604852336
0x11b815efb8f581194ae79006d24e0d814b7697f6,18769,147348.7427485574
0x11b815efb8f581194ae79006d24e0d814b7697f6,18770,134969.9337519694
0x11b815efb8f581194ae79006d24e0d814b7697f6,18771,521596.29474132287
0x11b815efb8f581194ae79006d24e0d814b7697f6,18772,526822.3650125206
0x11b815efb8f581194ae79006d24e0d814b7697f6,18773,550232.0583626202
0x11b815efb8f581194ae79006d24e0d814b7697f6,18774,539745.7057136844
0x11b815efb8f581194ae79006d24e0d814b7697f6,18775,503243.91303027474
0x11b815efb8f581194ae79006d24e0d814b7697f6,18776,951318.4818700884
0x11b815efb8f581194ae79006d24e0d814b7697f6,18777,1000850.714710905
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,18751,1893.3211778277698
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,18752,41544.94400872534
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,18753,339711.49352364143
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,18754,3080714.551988428
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,18755,344697.5482948428
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,18756,365186.20334915526
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,18757,368204.2020540594
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,18758,414865.3741386933
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,18759,237051.00486122782
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,18760,274465.46707681863
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,18761,298407.1463876868
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,18762,312218.8669079878
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,18763,308393.6367942666
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,18764,305239.2691743385
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,18765,3116017.733484069
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,18766,4608431.47521011
